days,No immune suppression
0,0
0.166166166166166,4.66527380249412e-21
0.332332332332332,4.24624387029193e-13
0.498498498498498,3.10489771077976e-12
0.664664664664665,2.39452919708666e-11
0.830830830830831,1.46076141476386e-10
0.996996996996997,3.09090897197855e-08
1.16316316316316,7.96376364629127e-08
1.32932932932933,1.28785023740937e-07
1.4954954954955,1.78353727468732e-07
1.66166166166166,3.96688575099636e-07
1.82782782782783,6.71980972568362e-07
1.99399399399399,9.49631741855144e-07
2.16016016016016,1.22965476964611e-06
2.32632632632633,2.01151073902626e-06
2.49249249249249,2.87248553937553e-06
2.65865865865866,3.74080985341192e-06
2.82482482482482,4.61652678124872e-06
2.99099099099099,6.26410295399866e-06
3.15715715715716,8.17772010273673e-06
3.32332332332332,1.03563880753901e-05
3.48948948948949,1.28033987904128e-05
3.65565565565566,1.55220695025082e-05
3.82182182182182,1.85157429303468e-05
3.98798798798799,2.17877873844035e-05
4.15415415415415,2.57664272027563e-05
4.32032032032032,3.04532700932154e-05
4.48648648648649,3.56482459578688e-05
4.65265265265265,4.13575892274358e-05
4.81881881881882,4.75875818385337e-05
4.98498498498498,5.43445534681618e-05
5.15115115115115,6.22241863921341e-05
5.31731731731732,7.09399507033007e-05
5.48348348348348,8.04447917451317e-05
5.64964964964965,9.07482843146103e-05
5.81581581581582,0.000101927226432132
5.98198198198198,0.000114451098711479
6.14814814814815,0.000128040448604375
6.31431431431431,0.000142708140626744
6.48048048048048,0.000158531193471167
6.64664664664665,0.000175746687883095
6.81281281281281,0.000194418750676739
6.97897897897898,0.000214625441208807
7.14514514514515,0.000236514171530353
7.31131131131131,0.000260165245475033
7.47747747747748,0.00028633093579572
7.64364364364364,0.000314586277811018
7.80980980980981,0.000345425279301033
7.97597597597598,0.000378495238275175
8.14214214214214,0.000414243045967849
8.30830830830831,0.000453594575849138
8.47447447447447,0.000496380679692744
8.64064064064064,0.000542950973422654
8.80680680680681,0.000593060246051688
8.97297297297297,0.000647686515309701
9.13913913913914,0.00070725902262225
9.30530530530531,0.000771734111870961
9.47147147147147,0.000841835251609404
9.63763763763764,0.00091889196764931
9.8038038038038,0.00100249822242043
9.96996996996997,0.00109353209739976
10.1361361361361,0.00119262011113601
10.3023023023023,0.00130084664273233
10.4684684684685,0.00141904968378737
10.6346346346346,0.00154837125667029
10.8008008008008,0.00168942284542295
10.966966966967,0.00184342030388782
11.1331331331331,0.00201160722016183
11.2992992992993,0.00219541944208126
11.4654654654655,0.00239616901579716
11.6316316316316,0.00261515215739915
11.7977977977978,0.00285394108491033
11.963963963964,0.00311454499813665
12.1301301301301,0.0033988457488946
12.2962962962963,0.00370887372545508
12.4624624624625,0.00404674702828838
12.6286286286286,0.00441491854868304
12.7947947947948,0.00481612747229331
12.960960960961,0.00525351438786207
13.1271271271271,0.00572992210728638
13.2932932932933,0.00624826825381507
13.4594594594595,0.00681493485643409
13.6256256256256,0.00742966164234728
13.7917917917918,0.00809780024813724
13.957957957958,0.00882513894353784
14.1241241241241,0.00961510877888268
14.2902902902903,0.0104732115948606
14.4564564564565,0.0114227763442859
14.6226226226226,0.0124508303325133
14.7887887887888,0.013557010372673
14.954954954955,0.0147505047189063
15.1211211211211,0.0160398549635404
15.2872872872873,0.0174620627419183
15.4534534534535,0.0189995953534054
15.6196196196196,0.0206387308186562
15.7857857857858,0.022406924167508
15.951951951952,0.0243079922054696
16.1181181181181,0.0263470780139374
16.2842842842843,0.0285360791528355
16.4504504504505,0.0308848078771208
16.6166166166166,0.0334016995877046
16.7827827827828,0.0360940778581519
16.9489489489489,0.0389697671719317
17.1151151151151,0.0420369250398058
17.2812812812813,0.0453025766490469
17.4474474474474,0.0487732412559501
17.6136136136136,0.0524556605778113
17.7797797797798,0.0563554443031243
17.9459459459459,0.0604772154689487
18.1121121121121,0.0648252126771873
18.2782782782783,0.069402429788611
18.4444444444444,0.074210733123946
18.6106106106106,0.0792511019880596
18.7767767767768,0.0845228371497758
18.9429429429429,0.0900233269138202
19.1091091091091,0.095749464064138
19.2752752752753,0.101701203212183
19.4414414414414,0.107882106231678
19.6076076076076,0.114257104441606
19.7737737737738,0.120818525302027
19.9399399399399,0.127562239491657
20.1061061061061,0.134477259378641
20.2722722722723,0.14154787595394
20.4384384384384,0.14875487273218
20.6046046046046,0.156085165629912
20.7707707707708,0.163520804825453
20.9369369369369,0.171038771031405
21.1031031031031,0.178618718082935
21.2692692692693,0.186240085122728
21.4354354354354,0.193871854146159
21.6016016016016,0.201501686530771
21.7677677677678,0.209107838498792
21.9339339339339,0.216662059390708
22.1001001001001,0.224145839436762
22.2662662662663,0.231533719094792
22.4324324324324,0.238795092751824
22.5985985985986,0.245939068544575
22.7647647647648,0.252909601774558
22.9309309309309,0.259726563762704
23.0970970970971,0.26634962069243
23.2632632632633,0.272770997159697
23.4294294294294,0.27896482761422
23.5955955955956,0.284923302620747
23.7617617617618,0.290633681591149
23.9279279279279,0.296079155982998
24.0940940940941,0.301258294694894
24.2602602602603,0.306157022036932
24.4264264264264,0.310768139664167
24.5925925925926,0.314911211354035
24.7587587587588,0.318833954772834
24.9249249249249,0.322403757379073
25.0910910910911,0.325819035037749
25.2572572572573,0.328864939720884
25.4234234234234,0.331602038184796
25.5895895895896,0.33394933987261
25.7557557557558,0.336075616331069
25.9219219219219,0.337972148041533
26.0880880880881,0.339610515638283
26.2542542542543,0.340946246250934
26.4204204204204,0.342007870883247
26.5865865865866,0.342707017503334
26.7527527527528,0.343198007787304
26.9189189189189,0.343524426735924
27.0850850850851,0.343620881403058
