,pop,HD79,GM04,274-98,174-97,396-09,145-97,t
0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0
1,0.000976372592862506,0.0009753527299336717,0.000976372596537625,0.0009394848300050332,0.0009763725930731521,0.0009912796755353426,0.000977772993887643,0.16616616616616617
2,0.0010035157590225978,0.000978438015180394,0.001003515699734951,0.0009043545939797052,0.0010035157625034917,0.0010373743482346752,0.001014886250179564,0.33233233233233234
3,0.001079138736317088,0.0010076431527881982,0.0010791385596597867,0.0008914941539683419,0.0010791387541330098,0.0011374015372573006,0.0011089262210215432,0.4984984984984985
4,0.0012035592531556643,0.0010621497901073481,0.001203559202565489,0.0008985535339220841,0.0012035593105642096,0.0012934975229336846,0.001261045991445722,0.6646646646646647
5,0.0013795228013117676,0.0011418810081810303,0.0013795227007765145,0.0009238208155959336,0.001379522945140932,0.0015107267503868258,0.001475708945437299,0.8308308308308309
6,0.0016121635244241604,0.0012474339392595393,0.0016121633419692626,0.0009661214953788369,0.0016121638352389672,0.001797184797923777,0.0017607225477102768,0.996996996996997
7,0.0019090972791270138,0.0013800650116895421,0.001909097086571146,0.0010247499364769257,0.0019090978884112062,0.00216425481591574,0.002127434098483492,1.1631631631631631
8,0.0022806243595618206,0.0015416828062391416,0.002280624051500299,0.001099413581161013,0.002280625475545758,0.002627023156504217,0.002591126228115006,1.3293293293293293
9,0.0027400520753762024,0.0017348583022342495,0.0027400515768861424,0.001190173945322518,0.0027400540217518803,0.003204878316314844,0.003171610194392,1.4954954954954955
10,0.0033041493843332364,0.0019628537629625908,0.0033041485839587826,0.001297430541602806,0.003304152658254992,0.003922294752017766,0.003894042895459288,1.6616616616616617
11,0.0039937378105196295,0.002229668165340789,0.003993737162940084,0.0014218935574345064,0.003993743167736885,0.004809879150501374,0.004789994119688098,1.827827827827828
12,0.004834460697853727,0.0025401009954640645,0.004834460096161438,0.0015645661101291787,0.004834469281980128,0.005905638964859089,0.0058988091271138295,1.993993993993994
13,0.005857704982569923,0.002899825835348527,0.0058577043937083195,0.0017267374543760265,0.005857718513646263,0.007256612549616832,0.007269322921796857,2.16016016016016
14,0.007101777630909911,0.0033155002889706958,0.007101777152802249,0.001909987390544615,0.007101798686198073,0.008920880823539198,0.008962000876951001,2.3263263263263263
15,0.008613332163430706,0.0037948790996951685,0.008613331859666205,0.0021161898583016182,0.008613364593046808,0.010970056903273094,0.011051594435223692,2.4924924924924925
16,0.0104491128031929,0.004346954007243069,0.01044911290535984,0.0023475244630789256,0.010449162344239642,0.01349236505822154,0.0136304477725939,2.6586586586586587
17,0.012678082379745154,0.0049821205015625125,0.012678083593695624,0.0026064941676230183,0.012678157563202348,0.016596431175585107,0.01681255534842161,2.824824824824825
18,0.015384010377502534,0.005712373533747888,0.015384013446544624,0.002895947483533237,0.015384123869643308,0.020415950642821944,0.020738604477707156,2.990990990990991
19,0.018668617320742188,0.006551531732481379,0.018668622770883526,0.0032191063251241674,0.01866878790118448,0.025115457181412344,0.02558218684743054,3.1571571571571573
20,0.022655396907403393,0.007515496902416777,0.022655406928337077,0.0035795969328719537,0.022655652383724384,0.030897389800009202,0.03155746621738796,3.3233233233233235
21,0.027494265769761217,0.008622554154747305,0.027494282570861162,0.003981489720573171,0.027494647291531456,0.038010810674658516,0.03892863963288955,3.4894894894894897
22,0.0333671919998768,0.009893716954130063,0.033367219677216536,0.00442934188490988,0.03336776040579965,0.04676212571015305,0.04802160682064574,3.655655655655656
23,0.04049503707837798,0.011353127268039285,0.04049508020953816,0.004928250125269678,0.04049588226065104,0.05752826602990068,0.05923836503994771,3.821821821821822
24,0.04914585997664884,0.013028512242355707,0.049145928225839255,0.0054839004399711,0.04914711468492504,0.07077290790654055,0.07307476163926066,3.987987987987988
25,0.059645001473448964,0.014951709733280832,0.05964510676021956,0.0061026387206018235,0.05964686166787976,0.08706642987587165,0.0901423868558924,4.1541541541541545
26,0.07238729473718038,0.01715927816037243,0.07238745496089194,0.006791541470207013,0.07239004955162587,0.10711043585831083,0.11119556234386212,4.32032032032032
27,0.08785194036316034,0.01969318281082629,0.08785218302702363,0.007558494379905125,0.08785601633001545,0.1317679303434759,0.13716465111906906,4.486486486486487
28,0.10662048454778915,0.02260159906192965,0.10662085147462147,0.008412279025422006,0.10662651070891734,0.16210041823001145,0.1691970724268522,4.652652652652653
29,0.12939868319772566,0.025939826201774978,0.12939923447997717,0.009362675641948346,0.12940758703481453,0.19941352164515697,0.2087079074716688,4.818818818818819
30,0.1570430119967512,0.029771338516175787,0.15704383627800336,0.010420575065275646,0.15705616080513038,0.2453130633029882,0.25744225434792706,4.984984984984985
31,0.19059282232218547,0.03416899207961907,0.19059405306315852,0.011598102061511517,0.19061223148823264,0.30177399991428894,0.31755209161726927,5.151151151151152
32,0.23130935233124783,0.039216409449374524,0.23131118518049204,0.012908753762583521,0.23133799205505443,0.37122517788160614,0.3916909652814852,5.317317317317317
33,0.28072304944201537,0.045009568646348364,0.280725770312963,0.014367553719007489,0.28076529668632716,0.45665345636323706,0.4831306569207404,5.483483483483483
34,0.34069092406571144,0.05165862440569734,0.34069496158116863,0.01599122351795977,0.34075322813620956,0.5617316360345566,0.5959048584243454,5.64964964964965
35,0.41346615801092024,0.05929001300453263,0.4134721403313239,0.01779837449501729,0.4135580211429127,0.6909755949934993,0.7349860281260452,5.8158158158158155
36,0.5017823930475498,0.0680488397950557,0.5017912470630499,0.019809720096904453,0.5019178143537414,0.8499372796179341,0.9065030602578067,5.981981981981982
