days,healthy pop,cd4 depl
28.58058058,0.000113707,0.004546778
28.74674675,0.000109621,0.004366502
28.91291291,0.000105685,0.004193537
29.07907908,0.000101891,0.004027614
29.24524525,9.82E-05,0.00386842
29.41141141,9.47E-05,0.003715707
29.57757758,9.13E-05,0.00356919
29.74374374,8.80E-05,0.003428667
29.90990991,8.49E-05,0.003293844
30.07607608,8.19E-05,0.003164454
30.24224224,7.89E-05,0.003040367
30.40840841,7.61E-05,0.002921303
30.57457457,7.34E-05,0.002807022
30.74074074,7.08E-05,0.002697394
30.90690691,6.82E-05,0.002592216
31.07307307,6.58E-05,0.002491258
31.23923924,6.35E-05,0.002394381
31.40540541,6.12E-05,0.002301444
31.57157157,5.90E-05,0.002212235
31.73773774,5.69E-05,0.002126609
31.9039039,5.49E-05,0.002044467
32.07007007,5.29E-05,0.001965616
32.23623624,5.11E-05,0.001889913
32.4024024,4.92E-05,0.00181729
32.56856857,4.75E-05,0.001747571
32.73473473,4.58E-05,0.00168062
32.9009009,4.42E-05,0.001616379
33.06706707,4.26E-05,0.00155471
33.23323323,4.11E-05,0.001495484
33.3993994,3.97E-05,0.001438626
33.56556557,3.83E-05,0.00138405
33.73173173,3.69E-05,0.001331634
33.8978979,3.56E-05,0.00128129
34.06406406,3.43E-05,0.001232968
34.23023023,3.31E-05,0.001186554
34.3963964,3.20E-05,0.001141957
34.56256256,3.08E-05,0.00109915
34.72872873,2.98E-05,0.001058027
34.89489489,2.87E-05,0.001018509
35.06106106,2.77E-05,0.000980557
35.22722723,2.67E-05,0.000944102
35.39339339,2.58E-05,0.000909068
35.55955956,2.49E-05,0.000875405
35.72572573,2.40E-05,0.000843073
35.89189189,2.32E-05,0.000811999
36.05805806,2.24E-05,0.000782126
36.22422422,2.16E-05,0.000753436
36.39039039,2.08E-05,0.000725858
36.55655656,2.01E-05,0.000699342
36.72272272,1.94E-05,0.00067386
36.88888889,1.87E-05,0.000649369
37.05505506,1.81E-05,0.000625817
37.22122122,1.74E-05,0.00060317
37.38738739,1.68E-05,0.000581404
37.55355355,1.63E-05,0.000560471
