days,pop,immunesupressed_flow,HD79,HD79_flow,145-97,145-97_flow,396-09,396-09_flow,274-98,274-98_flow,174-97,174-97_flow,GM04,GM04_flow
72.94694695,0.025775315,0.107248359,0.205479332,0.501373188,0.112786817,-1.32E-07,0.045159445,1.361493047,0.002057463,0.010283274,0.000503533,0.00402044,0.046459355,0.184574602
73.11311311,0.025392265,0.10580193,0.20219026,0.482655156,0.111543849,-1.29E-07,0.044001426,1.364166631,0.002009641,0.010058304,0.000480519,0.003861016,0.045876599,0.182530574
73.27927928,0.025016739,0.104382668,0.198965535,0.464528633,0.110318795,-1.26E-07,0.042874247,1.366911923,0.00196311,0.009848895,0.000458557,0.003707893,0.045304334,0.180521751
73.44544545,0.024648566,0.102990045,0.195803739,0.447415594,0.109111338,-1.23E-07,0.041777053,1.369723443,0.001917832,0.009645073,0.000437599,0.003560349,0.044742337,0.17854734
73.61161161,0.02428758,0.101623564,0.192703487,0.431325483,0.107921172,-1.20E-07,0.040709017,1.372591772,0.001873769,0.009446508,0.000417598,0.003417654,0.044190392,0.176606576
73.77777778,0.023933619,0.100282759,0.189663428,0.416267764,0.106747995,-1.17E-07,0.039669334,1.375519136,0.001830885,0.009252861,0.000398512,0.003279069,0.043648286,0.174698717
73.94394394,0.023586525,0.098967197,0.186682246,0.401383448,0.10559151,-1.14E-07,0.038657222,1.378502498,0.001789145,0.009063791,0.000380299,0.003143846,0.043115815,0.17282305
74.11011011,0.023246144,0.097676474,0.183758655,0.386979355,0.10445143,-1.11E-07,0.037671922,1.381538782,0.001748516,0.008878953,0.000362918,0.003011229,0.042592776,0.170978887
74.27627628,0.022912325,0.096410223,0.1808914,0.373227233,0.10332747,-1.08E-07,0.036712697,1.384624143,0.001708964,0.008697996,0.000346331,0.002880451,0.042078974,0.16916557
74.44244244,0.022584922,0.095168105,0.178079255,0.360133215,0.102219353,-1.05E-07,0.03577883,1.387747126,0.001670459,0.008520567,0.000330503,0.002755467,0.041574215,0.167382466
74.60860861,0.022263792,0.093945497,0.175321024,0.347527554,0.101126806,-1.02E-07,0.034869624,1.390908557,0.00163297,0.008346307,0.000315398,0.00265411,0.041078313,0.165628973
74.77477477,0.021948795,0.092744616,0.172615539,0.334833173,0.100049563,-9.90E-08,0.033984405,1.394104377,0.001596466,0.008174852,0.000300983,0.00255753,0.040591085,0.163904517
74.94094094,0.021639797,0.091565429,0.169961661,0.322500162,0.098987363,-9.59E-08,0.033122514,1.39733048,0.00156092,0.008005834,0.000287227,0.002465276,0.040112354,0.162208215
75.10710711,0.021336665,0.090407531,0.167358276,0.310532089,0.09793995,-9.28E-08,0.032283313,1.40058271,0.001526303,0.007838883,0.000274099,0.002376892,0.039641943,0.160539132
75.27327327,0.02103927,0.089270544,0.164804298,0.298932531,0.096907073,-8.96E-08,0.031466182,1.403862264,0.00149259,0.007673622,0.000261572,0.002291914,0.039179684,0.158897239
75.43943944,0.020747485,0.088154113,0.162298665,0.287700803,0.095888486,-8.65E-08,0.030670518,1.40716355,0.001459753,0.007509671,0.000249617,0.002209876,0.038725411,0.157282044
75.60560561,0.020461189,0.08705791,0.159840345,0.276709146,0.094883947,-8.33E-08,0.029895735,1.410482158,0.001427767,0.007346643,0.000238208,0.002130304,0.03827896,0.155693086
75.77177177,0.020180261,0.085981632,0.157428325,0.265894636,0.093893221,-8.02E-08,0.029141265,1.413814322,0.001396608,0.007184149,0.000227321,0.002052719,0.037840174,0.154129934
75.93793794,0.019904585,0.084925001,0.155061617,0.255213351,0.092916077,-7.70E-08,0.028406555,1.417156232,0.001366253,0.007023603,0.000216932,0.001976637,0.037408897,0.152592185
