days,healthy pop
0,0
0.166166166,3.15525897415844e-16
0.332332332,3.98136066226152e-14
0.498498498,2.93275220448854e-11
0.664664665,1.29185766068232e-10
0.830830831,3.02458617231414e-10
0.996996997,6.79868436756552e-10
1.163163163,1.39085913252087e-09
1.329329329,2.60099296582587e-09
1.495495495,4.4387347448772e-09
1.661661662,7.12024779966059e-09
1.827827828,1.09041218848213e-08
1.993993994,1.60650756286659e-08
2.16016016,2.28922835065306e-08
2.326326326,3.18111644779772e-08
2.492492492,4.33797996708216e-08
2.658658659,5.82949276674486e-08
2.824824825,7.75125045157912e-08
2.990990991,1.02337347620049e-07
3.157157157,1.34245013954848e-07
3.323323323,1.75703397876304e-07
3.489489489,2.2975339745044e-07
3.655655656,3.00423768584408e-07
3.821821822,3.93108882339586e-07
3.987987988,5.14836641298725e-07
4.154154154,6.74948645138969e-07
4.32032032,8.85909087266022e-07
4.486486486,1.1642080131391e-06
4.652652653,1.53165387070546e-06
4.818818819,2.01713901144522e-06
4.984984985,2.65862583142149e-06
5.151151151,3.50627054786095e-06
5.317317317,4.62598798799776e-06
5.483483483,6.10440412360696e-06
5.64964965,8.05491882921122e-06
5.815815816,1.06258024567681e-05
5.981981982,1.4010406763311e-05
6.148148148,1.84594163208304e-05
6.314314314,2.42929197913027e-05
6.48048048,3.19218118216236e-05
6.646646647,4.18646003069201e-05
6.812812813,5.47692811715473e-05
6.978978979,7.14121229479968e-05
7.145145145,9.27291975141359e-05
7.311311311,0.000119853527975542
7.477477477,0.000153891784943829
7.643643644,0.000196165718099842
7.80980981,0.000247946291126355
7.975975976,0.000310390269809833
8.142142142,0.000384425286091414
8.308308308,0.000470610570298085
8.474474474,0.000569033799962343
8.640640641,0.000679243254429174
8.806806807,0.000800229354933989
8.972972973,0.000930453586454968
9.139139139,0.00106793832986188
9.305305305,0.00121040225756951
9.471471471,0.00135535483882299
9.637637638,0.00150028356570433
9.803803804,0.00164279144798352
9.96996997,0.00178058873958215
10.13613614,0.00191183365276095
10.3023023,0.00203484057629087
10.46846847,0.00214830793926376
10.63463463,0.00225130366185282
10.8008008,0.00234313824317392
10.96696697,0.00242345900202235
11.13313313,0.00249210108983708
11.2992993,0.00254911578901946
11.46546547,0.00259479989634991
11.63163163,0.00262961203374871
11.7977978,0.00265412654162919
11.96396396,0.00266900175664386
12.13013013,0.00267487603812244
12.2962963,0.00267246755118879
12.46246246,0.00266249596626645
12.62862863,0.00264567537655869
12.79479479,0.00262274040967844
12.96096096,0.00259435928399304
13.12712713,0.0025612047560422
13.29329329,0.00252388353174368
13.45945946,0.00248296647572978
13.62562563,0.00243901362050123
13.79179179,0.00239246818735738
13.95795796,0.00234380563303758
14.12412412,0.00229341487190271
14.29029029,0.00224166021390847
14.45645646,0.00218887501770403
14.62262262,0.00213534568486807
14.78878879,0.00208133177384492
14.95495495,0.00202708100661603
15.12112112,0.00197278335792364
15.28728729,0.00191862628495736
15.45345345,0.0018648087102562
15.61961962,0.00181141585114065
15.78578579,0.0017586149323074
15.95195195,0.00170648965761621
16.11811812,0.0016551442030198
16.28428428,0.00160465637645642
16.45045045,0.00155508179720463
16.61661662,0.00150648917556373
16.78278278,0.00145890109182605
16.94894895,0.00141236118489082
17.11511512,0.00136685344941527
17.28128128,0.00132245012188686
17.44744745,0.00127918971654306
17.61361361,0.0012370207361456
17.77977978,0.00119595599559528
17.94594595,0.00115603477383743
18.11211211,0.00111726235719382
18.27827828,0.00107954910697803
18.44444444,0.00104294029351563
18.61061061,0.00100743384356141
18.77677678,0.000972993155993229
18.94294294,0.000939581470643942
19.10910911,0.000907204183292797
19.27527528,0.000875847199109
19.44144144,0.000845466909920881
19.60760761,0.000816050045213382
19.77377377,0.000787576484422174
19.93993994,0.000760018864871441
20.10610611,0.000733356756915338
20.27227227,0.000707567631400349
20.43843844,0.000682629838362234
20.6046046,0.000658520686229462
20.77077077,0.000635217914380777
20.93693694,0.00061270015116585
21.1031031,0.000590944917540017
21.26926927,0.00056993024092879
21.43543544,0.000549634898419084
21.6016016,0.000530036668250606
21.76776777,0.0005111145029103
21.93393393,0.000492849502900593
22.1001001,0.000475218916462011
22.26626627,0.000458201448006469
22.43243243,0.000441779827708116
22.5985986,0.000425936404162225
22.76476476,0.00041064896667926
22.93093093,0.000395897497477987
23.0970971,0.000381670697699596
23.26326326,0.00036794873503881
23.42942943,0.000354712017290396
23.5955956,0.000341943043739779
23.76176176,0.00032963386626371
23.92792793,0.000317763133763402
24.09409409,0.000306314212138426
24.26026026,0.000295273772692173
24.42642643,0.000284632198185917
24.59259259,0.000274370890186907
24.75875876,0.0002644748509814
24.92492492,0.000254935028539271
25.09109109,0.000245739708809772
25.25725726,0.000236873524819246
25.42342342,0.00022832422369478
25.58958959,0.000220086819347977
25.75575576,0.000212145985398162
25.92192192,0.000204490006460863
26.08808809,0.000197111746014681
26.25425425,0.000190002081410889
26.42042042,0.000183148993002248
26.58658659,0.000176542798358194
26.75275275,0.00017017895069111
26.91891892,0.000164045624982902
27.08508509,0.000158133534885786
27.25125125,0.000152436690711018
27.41741742,0.000146947715873335
27.58358358,0.000141657093886407
27.74974975,0.000136557020429426
27.91591592,0.000131643813946057
28.08208208,0.000126908319768973
28.24824825,0.000122343214745742
28.41441441,0.000117945327709255
28.58058058,0.00011370687077093
28.74674675,0.000109621251901588
28.91291291,0.000105684649285391
29.07907908,0.00010189136685341
29.24524525,9.82351565092072e-05
29.41141141,9.47118305869811e-05
29.57757758,9.13171212038925e-05
29.74374374,8.80452007974686e-05
