,pop,273-98,223-98,251-05,ME72,MH81,MI64,t
0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0
1,0.001022423460230287,0.0010247550037911705,0.001022053396992053,0.0010222997871652008,0.0010234568940529524,0.0010188572096732117,0.0010205106985416382,0.16616616616616617
2,0.0011803309143898569,0.0011877919857470008,0.0011776287656365748,0.001179425789290067,0.0011844943670987127,0.0011723422448086925,0.001175945921140979,0.33233233233233234
3,0.0014627932202776234,0.0014807718611008346,0.0014541794457092708,0.0014599014610857403,0.0014726232323192276,0.0014484137985698673,0.001454702194072697,0.4984984984984985
4,0.001878655661784143,0.001915453275594815,0.0018587671702995291,0.0018719644270575027,0.0018976291614952229,0.001854706587311231,0.0018648901828919662,0.6646646646646647
5,0.0024530225593357865,0.0025208214985632683,0.0024141075014146697,0.002439902898354255,0.002486110958737928,0.0024147828124381457,0.0024306742165453674,0.8308308308308309
6,0.0032267703467481566,0.003343287715862215,0.003157686023860926,0.00320343281279067,0.003281144129355629,0.003167416222718405,0.003191645948779227,0.996996996996997
7,0.004258380359488351,0.004449226670482097,0.00414313856589371,0.0042193748128936,0.004344357570612218,0.004168155185092365,0.004204495942713681,1.1631631631631631
8,0.005627728741115453,0.0059297835707158835,0.005443457421664103,0.005565242503949481,0.005760079442894557,0.0054927600455282445,0.005546596370129258,1.3293293293293293
9,0.007441932112518953,0.00790804023676205,0.007156044561065722,0.007344814199668943,0.0076416937198884914,0.007242563563212309,0.007321567300597282,1.4954954954954955
10,0.00984352321824648,0.010549030797759271,0.00940980672864048,0.009695935606175753,0.010140506695296314,0.009551974214205044,0.009667074590533441,1.6616616616616617
11,0.013021474692264428,0.014073321258081313,0.012374701346818808,0.012801034042185258,0.01345774033996289,0.012598553600570597,0.012765338658815585,1.827827827827828
12,0.01722598184114252,0.018775298737023136,0.016274503366569923,0.016901205186076657,0.017860642693921208,0.01661646409978142,0.016857214244738898,1.993993993993994
13,0.022788054941450468,0.025047485447935322,0.021403622855056925,0.022314864891203635,0.023703901306441386,0.021914124035662466,0.022260831345259177,2.16016016016016
14,0.03014542559130524,0.033412951523876064,0.028149296345304158,0.0294623839730136,0.03145802895777837,0.02889737715281701,0.029396209883821463,2.3263263263263263
15,0.039876735441449325,0.04456829619154053,0.03702073211030308,0.03889858332433013,0.041746949888883327,0.03809968232265843,0.038817716344162,2.4924924924924925
16,0.052746654030323775,0.059440524372943136,0.04868745215749344,0.05135560324448747,0.05539772772681463,0.050221349225649255,0.05125685782132702,2.6586586586586587
17,0.06976525640099626,0.07926210553520087,0.06402967413516923,0.06779933997846163,0.07350617759068735,0.0661802487380889,0.06767857295500863,2.824824824824825
18,0.09226605310915648,0.10566956960796053,0.08420439708873877,0.08950369654224173,0.09752331982732192,0.0871767586167509,0.08935520541084827,2.990990990990991
19,0.12200834571579228,0.1408324064767678,0.11073215912834286,0.1181481857267908,0.12936900769730347,0.11477627240551183,0.11796358497065561,3.1571571571571573
20,0.16131100373719146,0.1876202434629175,0.14561075342947558,0.15594594647488372,0.17158070788870114,0.15101249775451528,0.15571207862050884,3.3233233233233235
21,0.21322671833202236,0.2498176231478484,0.1914641411627308,0.20581141053485777,0.22750753859951017,0.1985143488929117,0.20550648985791511,3.4894894894894897
22,0.28176770014030317,0.33239583988764604,0.2517372741590695,0.27157920083483167,0.3015616698729979,0.2606575353670643,0.27116575956508665,3.655655655655656
23,0.37219590518055967,0.4418503798453521,0.3309502961334467,0.3582888939509424,0.39954135797374135,0.34173823814594045,0.3577009987267604,3.821821821821822
24,0.4913925839305409,0.5866074288530541,0.4350296735709831,0.47255364713229725,0.5290412978715555,0.44715900145402626,0.47167394448242084,3.987987987987988
25,0.6483223799785273,0.7774920229870657,0.5717380659569781,0.6230341515319795,0.6999654748919465,0.5836045972865963,0.6216530074711468,4.1541541541541545
26,0.8546050294299556,1.0282285303850474,0.7512297953150322,0.821042514388096,0.9251534600821053,0.7591654798517941,0.8187859083244323,4.32032032032032
27,1.1252000709898884,1.3559054162866644,0.9867648424439649,1.0813020205640875,1.221119470043125,0.98333755904403,1.077505479579088,4.486486486486487
28,1.4791927729704888,1.78127342739759,1.2956192219361806,1.4228862726896805,1.6088790028951736,1.2667897927587037,1.4163764168438693,4.652652652652653
29,1.9406363211187103,2.328655575352344,1.7002335897465373,1.8703510709202849,2.1147927410151617,1.6207548254432922,1.8590712797133588,4.818818818818819
30,2.539347043093808,3.0251333210582865,2.2296412384604114,2.4550479474735325,2.7712804320535276,2.055882068002491,2.4354251280149586,4.984984984984985
31,3.3114558742594795,3.898571282093688,2.9212071798798362,3.2165602518215217,3.617139426789561,2.580438926139219,3.18245004898848,5.151151151151152
32,4.299383868951552,4.974031967626878,3.8226829105766003,4.2041165799778195,4.697039883869407,3.197905236992878,4.145081254039515,5.317317317317317
33,5.550736407639935,6.26835633803567,4.99452583208082,5.477695550037392,6.059582884416079,3.904316180360905,5.3762643853716385,5.483483483483483
34,7.115443479266402,7.783318954946516,6.512327395920077,7.108326545525983,7.753172091340484,4.686117687668088,6.9357849932221995,5.64964964964965
35,9.040413033410106,9.498843751314297,8.469017324333242,9.176813776614647,9.819022722436038,5.519598912038046,8.887026110917471,5.8158158158158155
36,11.361202832272209,11.368958673682,10.976235339525577,11.769812946892568,12.281158019704188,6.3728088746095315,11.290735195952422,5.981981981981982
37,14.09101240548563,13.323551363412776,14.163872462244102,14.97201052006317,15.134474800561446,7.210019353175754,14.195103983425996,6.148148148148148
